# Directed graph: Datasets/g.txt 
# Save as tab-separated list of edges
# Nodes: 3783 Edges: 98
# FromNodeId	ToNodeId
377	399
399	377
529	992
992	529
958	7504
7504	958
223	624
624	223
223	711
711	223
223	910
910	223
223	1997
1997	223
416	898
898	416
22	3134
3134	22
1051	1173
1173	1051
222	351
351	222
2117	2737
2737	2117
244	1060
1060	244
62	596
596	62
165	223
223	165
165	3372
3372	165
19	3254
3254	19
85	804
804	85
3	351
351	3
49	519
519	49
27	3134
3134	27
859	2703
2703	859
661	1007
1007	661
1109	1110
1110	1109
982	3291
3291	982
141	1180
1180	141
1157	7527
7527	1157
758	1377
1377	758
665	923
923	665
513	2539
2539	513
334	821
821	334
1703	2088
2088	1703
1568	7597
7597	1568
947	2161
2161	947
1141	1142
1142	1141
2078	6157
6157	2078
2151	2577
2577	2151
144	462
462	144
1657	2011
2011	1657
1204	7163
7163	1204
7451	7452
7452	7451
2286	3287
3287	2286
1955	1956
1956	1955
1549	1556
1556	1549
577	1693
1693	577
1679	1978
1978	1679
836	3179
3179	836
1250	1467
1467	1250
1870	3271
3271	1870
